bacteria,huth,huth_abundance,total_sample_depth,relative_abundance,analysis,sample
Firmicutes,hutH,634.4,74081378.0,8.563555607726411e-06,MGYA00721781,ERZ650780
Synergistetes,hutH,673.7,74081378.0,9.094053299062553e-06,MGYA00721781,ERZ650780
Oscillospiraceae,hutH,1010.7,74081378.0,1.364310474894244e-05,MGYA00721781,ERZ650780
Bacteroidaceae,hutH,438.7,74081378.0,5.921866086238298e-06,MGYA00721781,ERZ650780
Betaproteobacteria,hutH,1032.3,74081378.0,1.3934675999142455e-05,MGYA00721781,ERZ650780
Rikenellaceae,hutH,277.3,74081378.0,3.74318091113262e-06,MGYA00721781,ERZ650780
Eubacteriaceae,hutH,632.5,74081378.0,8.537908136644002e-06,MGYA00721781,ERZ650780
Bacteroidia,hutH,321.2,55468559.79999999,5.79066774327896e-06,MGYA00721783,ERZ650778
Blautia,hutH,358.6,55468559.79999999,6.464923576400484e-06,MGYA00721783,ERZ650778
Bacilli,hutH,328.6,55468559.79999999,5.924076651436695e-06,MGYA00721783,ERZ650778
Bacteroidia,hutH,959.5,55468559.79999999,1.7298087483425163e-05,MGYA00721783,ERZ650778
Porphyromonadaceae,hutH,984.2,55468559.79999999,1.7743384784978683e-05,MGYA00721783,ERZ650778
Bacteroidaceae,hutH,986.1,55468559.79999999,1.777763842355972e-05,MGYA00721783,ERZ650778
Bacteroidaceae,hutH,1039.3,55468559.79999999,1.873674030382884e-05,MGYA00721783,ERZ650778
Bacteroidaceae,hutH1,250.8,55468559.79999999,4.521480292697271e-06,MGYA00721783,ERZ650778
Bacteroidaceae,hutH,984.2,55468559.79999999,1.7743384784978683e-05,MGYA00721783,ERZ650778
Sutterellaceae,hutH,84.7,55468559.79999999,1.5269911514810958e-06,MGYA00721783,ERZ650778
Bacteroidaceae,hutH,978.8,55468559.79999999,1.76460323384852e-05,MGYA00721783,ERZ650778
Negativicutes,hutH,1005.4,55468559.79999999,1.812558327861976e-05,MGYA00721783,ERZ650778
Negativicutes,hutH,1016.1,55468559.79999999,1.831848534852351e-05,MGYA00721783,ERZ650778
Bacteroidaceae,hutH,988.0,55468559.79999999,1.7811892062140762e-05,MGYA00721783,ERZ650778
Bacteroidaceae,hutH,989.2,55468559.79999999,1.7833525939139313e-05,MGYA00721783,ERZ650778
Bacteroidaceae,hutH,988.4,55468559.79999999,1.7819103354473614e-05,MGYA00721783,ERZ650778
Bacteroidaceae,hutH,1004.2,55468559.79999999,1.810394940162121e-05,MGYA00721783,ERZ650778
Porphyromonadaceae,hutH,763.1,55468559.79999999,1.3757342947995562e-05,MGYA00721783,ERZ650778
Rikenellaceae,hutH,127.9,55468559.79999999,2.305810723428951e-06,MGYA00721783,ERZ650778
Rikenellaceae,hutH,644.8,55468559.79999999,1.1624603240555023e-05,MGYA00721783,ERZ650778
Bacteroidia,hutH,634.0,55468559.79999999,1.142989834756806e-05,MGYA00721783,ERZ650778
Rikenellaceae,hutH,401.7,55468559.79999999,7.241940325265125e-06,MGYA00721783,ERZ650778
Bacteroidaceae,hutH,989.2,91702751.19999997,1.078702642020625e-05,MGYA00721785,ERZ650847
Bacteroidaceae,hutH,204.5,91702751.19999997,2.230031240327717e-06,MGYA00721785,ERZ650847
unclassified Burkholderiales,hutH,1052.0,91702751.19999997,1.1471847749754321e-05,MGYA00721785,ERZ650847
Oscillospiraceae,hutH,862.8,91702751.19999997,9.408659922517137e-06,MGYA00721785,ERZ650847
Clostridiales incertae sedis,hutH,626.3,91702751.19999997,6.829675138470657e-06,MGYA00721785,ERZ650847
Firmicutes,hutH,674.9,91702751.19999997,7.3596483329935275e-06,MGYA00721785,ERZ650847
Porphyromonadaceae,hutH,983.8,91702751.19999997,1.0728140509703707e-05,MGYA00721785,ERZ650847
Oscillospiraceae,hutH,593.2,91702751.19999997,6.468726316686562e-06,MGYA00721785,ERZ650847
Bacteroidaceae,hutH,741.5,91702751.19999997,8.085907895858202e-06,MGYA00721785,ERZ650847
Eubacteriaceae,hutH,636.3,91702751.19999997,6.9387231208827694e-06,MGYA00721785,ERZ650847
Synergistetes,hutH,447.2,91702751.19999997,4.876625773469707e-06,MGYA00721785,ERZ650847
Oscillospiraceae,hutH,190.3,91702751.19999997,2.0751831053025166e-06,MGYA00721785,ERZ650847
Firmicutes,hutH,214.2,91702751.19999997,2.335807783267467e-06,MGYA00721785,ERZ650847
Rikenellaceae,hutH,977.6,91702751.19999997,1.0660530760608198e-05,MGYA00721785,ERZ650847
Porphyromonadaceae,hutH,686.8,91702751.19999997,7.4894154320639416e-06,MGYA00721785,ERZ650847
Bacteroidaceae,hutH,999.6,91702751.19999997,1.0900436321914846e-05,MGYA00721785,ERZ650847
Bacteroidaceae,hutH,988.0,91702751.19999997,1.0773940662316796e-05,MGYA00721785,ERZ650847
Bacteroidaceae,hutH,1040.0,91702751.19999997,1.1340990170859784e-05,MGYA00721785,ERZ650847
Bacteroidia,hutH,996.5,91702751.19999997,1.0866631447367092e-05,MGYA00721785,ERZ650847
Clostridia,hutH,641.0,91702751.19999997,6.989975672616464e-06,MGYA00721785,ERZ650847
Porphyromonadaceae,hutH,984.2,91702751.19999997,1.0732502429000194e-05,MGYA00721785,ERZ650847
Rikenellaceae,hutH,966.8,91702751.19999997,1.0542758939603115e-05,MGYA00721785,ERZ650847
Bacteroidaceae,hutH,984.2,91702751.19999997,1.0732502429000194e-05,MGYA00721785,ERZ650847
Bacteroidaceae,hutH,984.2,91702751.19999997,1.0732502429000194e-05,MGYA00721785,ERZ650847
Bacteroidaceae,hutH,987.3,91702751.19999997,1.0766307303547946e-05,MGYA00721785,ERZ650847
Bacteroidaceae,hutH,988.0,91702751.19999997,1.0773940662316796e-05,MGYA00721785,ERZ650847
Rikenellaceae,hutH,888.6,91702751.19999997,9.69000371714039e-06,MGYA00721785,ERZ650847
Bacteroidaceae,hutH,987.3,91702751.19999997,1.0766307303547946e-05,MGYA00721785,ERZ650847
Betaproteobacteria,hutH,1056.6,91702751.19999997,1.152200982166389e-05,MGYA00721785,ERZ650847
Bacteroidaceae,hutH,818.9,91702751.19999997,8.92993927972796e-06,MGYA00721785,ERZ650847
Bacteria,hutH,1096.3,91702751.19999997,1.1954930311839982e-05,MGYA00721785,ERZ650847
Clostridiaceae,hutH,365.5,91702751.19999997,3.985703757162742e-06,MGYA00721785,ERZ650847
Oscillospiraceae,hutH,191.8,91702751.19999997,2.0915403026643335e-06,MGYA00721785,ERZ650847
Oscillospiraceae,hutH,134.8,91702751.19999997,1.4699668029152877e-06,MGYA00721785,ERZ650847
Firmicutes,hutH,281.2,91702751.19999997,3.0664292654286264e-06,MGYA00721785,ERZ650847
Porphyromonadaceae,hutH,383.3,91702751.19999997,4.179809165856303e-06,MGYA00721785,ERZ650847
Bacteroidaceae,hutH,204.5,91702751.19999997,2.230031240327717e-06,MGYA00721785,ERZ650847
Oscillospiraceae,hutH,90.1,91702751.19999997,9.825223215331408e-07,MGYA00721785,ERZ650847
Rikenellaceae,hutH,256.1,62384619.3,4.105178533965984e-06,MGYA00721788,ERZ650846
Rikenellaceae,hutH,99.4,62384619.3,1.593341453636153e-06,MGYA00721788,ERZ650846
Bacteroidaceae,hutH,646.0,62384619.3,1.0355116489426105e-05,MGYA00721788,ERZ650846
Bacteroidaceae,hutH,531.9,62384619.3,8.526140032083196e-06,MGYA00721788,ERZ650846
Bacteroidaceae,hutH,421.4,62384619.3,6.75487010626031e-06,MGYA00721788,ERZ650846
Firmicutes,hutH,231.9,62384619.3,3.717262405414727e-06,MGYA00721788,ERZ650846
Bacteroidia,hutH,877.9,62384619.3,1.4072378894840831e-05,MGYA00721788,ERZ650846
Rikenellaceae,hutH,977.6,62384619.3,1.5670529226103652e-05,MGYA00721788,ERZ650846
Bacteroidaceae,hutH,988.4,62384619.3,1.5843648820663717e-05,MGYA00721788,ERZ650846
Bacteroidaceae,hutH,1039.6,62384619.3,1.6664363935615136e-05,MGYA00721788,ERZ650846
Oscillospiraceae,hutH,823.9,62384619.3,1.3206780922040507e-05,MGYA00721788,ERZ650846
Porphyromonadaceae,hutH,977.6,62384619.3,1.5670529226103652e-05,MGYA00721788,ERZ650846
Bacteroidaceae,hutH1,248.4,62384619.3,3.981750674881493e-06,MGYA00721788,ERZ650846
Bacteroidaceae,hutH,942.6,62384619.3,1.5109493502992332e-05,MGYA00721788,ERZ650846
Porphyromonadaceae,hutH,153.3,62384619.3,2.4573364672275884e-06,MGYA00721788,ERZ650846
Bacteroidaceae,hutH,984.2,62384619.3,1.577632453389036e-05,MGYA00721788,ERZ650846
Clostridiaceae,hutH,365.5,62384619.3,5.858815908491085e-06,MGYA00721788,ERZ650846
Porphyromonadaceae,hutH,546.2,62384619.3,8.755363198954395e-06,MGYA00721788,ERZ650846
Oscillospiraceae,hutH,1007.3,62384619.3,1.6146608111143832e-05,MGYA00721788,ERZ650846
Bacteroidaceae,hutH,953.7,62384619.3,1.5287421975179067e-05,MGYA00721788,ERZ650846
Bacteroidaceae,hutH,164.5,48054477.199999996,3.4231982030594232e-06,MGYA00721790,ERZ650844
Porphyromonadaceae,hutH,348.2,48054477.199999996,7.245942944105113e-06,MGYA00721790,ERZ650844
Bacteroidaceae,hutH,470.3,48054477.199999996,9.78680920911153e-06,MGYA00721790,ERZ650844
Clostridia,hutH,223.8,48054477.199999996,4.657214333402425e-06,MGYA00721790,ERZ650844
Synergistetes,hutH,73.2,48054477.199999996,1.523271176072643e-06,MGYA00721790,ERZ650844
Bacteroidaceae,hutH,161.8,48054477.199999996,3.3670119711551045e-06,MGYA00721790,ERZ650844
Bacteroidaceae,hutH,373.2,48054477.199999996,7.766185832108065e-06,MGYA00721790,ERZ650844
Clostridia,hutH,236.9,48054477.199999996,4.929821606715972e-06,MGYA00721790,ERZ650844
Peptostreptococcaceae,hutH,192.6,48054477.199999996,4.007951209174741e-06,MGYA00721790,ERZ650844
Bacteroidia,hutH,951.4,48054477.199999996,1.9798363345840336e-05,MGYA00721790,ERZ650844
Bacteroidia,hutH,753.1,48054477.199999996,1.5671796758200923e-05,MGYA00721790,ERZ650844
Eubacteriaceae,hutH,640.2,48054477.199999996,1.332237987597959e-05,MGYA00721790,ERZ650844
Rikenellaceae,hutH,699.1,48054477.199999996,1.4548072120114546e-05,MGYA00721790,ERZ650844
Bacteroidaceae,hutH,979.9,48054477.199999996,2.0391440238163698e-05,MGYA00721790,ERZ650844
Sutterellaceae,hutH,511.5,48054477.199999996,1.0644169488540395e-05,MGYA00721790,ERZ650844
Sutterellaceae,hutH,392.5,48054477.199999996,8.167813341646344e-06,MGYA00721790,ERZ650844
Bacteroidaceae,hutH,983.4,48054477.199999996,2.0464274242484112e-05,MGYA00721790,ERZ650844
Betaproteobacteria,hutH,656.8,48054477.199999996,1.3667821153613549e-05,MGYA00721790,ERZ650844
Bacteria,hutH,773.9,48054477.199999996,1.6104638841019378e-05,MGYA00721790,ERZ650844
Oscillospiraceae,hutH,1013.4,48054477.199999996,2.1088565708087656e-05,MGYA00721790,ERZ650844
Clostridiales incertae sedis,hutH,631.7,48054477.199999996,1.3145497294058587e-05,MGYA00721790,ERZ650844
Oscillospiraceae,hutH,416.0,48054477.199999996,8.656841656369118e-06,MGYA00721790,ERZ650844
Clostridiaceae,hutH,114.4,48054477.199999996,2.380631455501508e-06,MGYA00721790,ERZ650844
Synergistetes,hutH,634.0,48054477.199999996,1.3193359639754858e-05,MGYA00721790,ERZ650844
Firmicutes,hutH,210.3,48054477.199999996,4.376283173880831e-06,MGYA00721790,ERZ650844
Firmicutes,hutH,136.7,48054477.199999996,2.8446881116001404e-06,MGYA00721790,ERZ650844
Eubacteriaceae,hutH,412.9,48054477.199999996,8.592331538256752e-06,MGYA00721790,ERZ650844
Firmicutes,hutH,257.7,48054477.199999996,5.362663689534427e-06,MGYA00721790,ERZ650844
Oscillospiraceae,hutH,233.0,48054477.199999996,4.848663716187511e-06,MGYA00721790,ERZ650844
Clostridiaceae,hutH,134.0,48054477.199999996,2.7885018796958217e-06,MGYA00721790,ERZ650844
Porphyromonadaceae,hutH,702.2,48054477.199999996,1.4612582238226912e-05,MGYA00721790,ERZ650844
Bacteroidaceae,hutH,461.1,48054477.199999996,9.595359826326443e-06,MGYA00721790,ERZ650844
Bacteroidaceae,hutH,994.6,72979501.89999999,1.3628484356646454e-05,MGYA00721793,ERZ650842
Porphyromonadaceae,hutH,921.4,72979501.89999999,1.262546298634028e-05,MGYA00721793,ERZ650842
Porphyromonadaceae,hutH,317.4,72979501.89999999,4.349166433540704e-06,MGYA00721793,ERZ650842
Bacteroidaceae,hutH,446.4,72979501.89999999,6.116786061539289e-06,MGYA00721793,ERZ650842
Bacteroidaceae,hutH,326.6,72979501.89999999,4.4752292287157976e-06,MGYA00721793,ERZ650842
Bifidobacteriales,hutH,192.2,72979501.89999999,2.6336162209405272e-06,MGYA00721793,ERZ650842
Porphyromonadaceae,hutH,388.3,72979501.89999999,5.320672105053104e-06,MGYA00721793,ERZ650842
Bacteroidaceae,hutH,1043.9,72979501.89999999,1.4304016509052115e-05,MGYA00721793,ERZ650842
Bacteroidaceae,hutH,989.2,72979501.89999999,1.3554490976869769e-05,MGYA00721793,ERZ650842
Bacteroidia,hutH,998.0,72979501.89999999,1.3675072780950292e-05,MGYA00721793,ERZ650842
Rikenellaceae,hutH,964.1,72979501.89999999,1.3210558785685548e-05,MGYA00721793,ERZ650842
Rikenellaceae,hutH,881.3,72979501.89999999,1.2075993629109712e-05,MGYA00721793,ERZ650842
Bacteroidaceae,hutH,987.6,72979501.89999999,1.3532567012491491e-05,MGYA00721793,ERZ650842
Porphyromonadaceae,hutH,984.2,72979501.89999999,1.3485978588187653e-05,MGYA00721793,ERZ650842
Bacteroidaceae,hutH,982.2,72979501.89999999,1.3458573632714807e-05,MGYA00721793,ERZ650842
Bacteroidaceae,hutH,983.4,72979501.89999999,1.3475016605998514e-05,MGYA00721793,ERZ650842
Bacteroidaceae,hutH,979.9,72979501.89999999,1.3427057933921033e-05,MGYA00721793,ERZ650842
Bacteroidaceae,hutH,988.4,72979501.89999999,1.3543528994680629e-05,MGYA00721793,ERZ650842
Bacteroidaceae,hutH,988.0,72979501.89999999,1.353804800358606e-05,MGYA00721793,ERZ650842
Porphyromonadaceae,hutH,978.4,72979501.89999999,1.3406504217316398e-05,MGYA00721793,ERZ650842
Blautia,hutH,338.2,54438144.4,6.212555621201519e-06,MGYA00721797,ERZ650839
Porphyromonadaceae,hutH,185.7,54438144.4,3.4112110551659435e-06,MGYA00721797,ERZ650839
Blautia,hutH,261.2,54438144.4,4.798106233760606e-06,MGYA00721797,ERZ650839
Clostridia,hutH,288.1,54438144.4,5.292245045736718e-06,MGYA00721797,ERZ650839
Blautia,hutH,230.3,54438144.4,4.230489531527823e-06,MGYA00721797,ERZ650839
Bacteria,hutH,92.8,54438144.4,1.7046870539547634e-06,MGYA00721797,ERZ650839
Bacteroidaceae,hutH,989.2,54438144.4,1.81710822604747e-05,MGYA00721797,ERZ650839
Bacteroidaceae,hutH,1042.3,54438144.4,1.9146501253632e-05,MGYA00721797,ERZ650839
Bacteroidaceae,hutH1,256.5,54438144.4,4.711769712709017e-06,MGYA00721797,ERZ650839
Bacteroidaceae,hutH,984.2,54438144.4,1.807923489765386e-05,MGYA00721797,ERZ650839
Porphyromonadaceae,hutH,1020.4,54438144.4,1.8744209804476732e-05,MGYA00721797,ERZ650839
Rahnella,hutH,914.8,54438144.4,1.680439350170062e-05,MGYA00721797,ERZ650839
Bacteroidaceae,hutH,988.4,54438144.4,1.8156386682423362e-05,MGYA00721797,ERZ650839
Bacteroidia,hutH,959.5,54438144.4,1.7625508925318918e-05,MGYA00721797,ERZ650839
Fusobacteria,hutH,995.7,54438144.4,1.829048383214179e-05,MGYA00721797,ERZ650839
Porphyromonadaceae,hutH,965.7,54438144.4,1.773939965521676e-05,MGYA00721797,ERZ650839
Rikenellaceae,hutH,966.8,54438144.4,1.775960607503734e-05,MGYA00721797,ERZ650839
Bacteroidaceae,hutH,251.1,54438144.4,4.612574560862511e-06,MGYA00721797,ERZ650839
Bacteroidaceae,hutH,673.7,54438144.4,1.2375513666479786e-05,MGYA00721797,ERZ650839
Enterobacter,hutH,868.2,54438144.4,1.5948376080210407e-05,MGYA00721797,ERZ650839
Bacteroidaceae,hutH,702.6,54438144.4,1.2906391423584232e-05,MGYA00721797,ERZ650839
Gammaproteobacteria,hutH,99.4,54438144.4,1.8259255728782704e-06,MGYA00721797,ERZ650839
Bacteroidaceae,hutH,532.3,54438144.4,9.77807024590647e-06,MGYA00721797,ERZ650839
Blautia,hutH,559.7,54438144.4,1.0281393794164668e-05,MGYA00721797,ERZ650839
Bacteroidaceae,hutH,139.8,80716289.69999999,1.7319923960776412e-06,MGYA00721805,ERZ650833
Oscillospiraceae,hutH,981.1,80716289.69999999,1.2154919454876779e-05,MGYA00721805,ERZ650833
Porphyromonadaceae,hutH,805.1,80716289.69999999,9.974442618613082e-06,MGYA00721805,ERZ650833
Bacteroidaceae,hutH,874.8,80716289.69999999,1.0837961002065238e-05,MGYA00721805,ERZ650833
Bacteroidaceae,hutH,408.7,80716289.69999999,5.063414107846437e-06,MGYA00721805,ERZ650833
Bacteroidaceae,hutH,834.3,80716289.69999999,1.0336203548265922e-05,MGYA00721805,ERZ650833
Bacteroidia,hutH,505.4,80716289.69999999,6.261437460498138e-06,MGYA00721805,ERZ650833
Rikenellaceae,hutH,480.3,80716289.69999999,5.950471729871895e-06,MGYA00721805,ERZ650833
Rikenellaceae,hutH,417.2,80716289.69999999,5.168721227779627e-06,MGYA00721805,ERZ650833
Bacteroidaceae,hutH,406.4,80716289.69999999,5.034919240099809e-06,MGYA00721805,ERZ650833
Bacteria,hutH,1096.3,80716289.69999999,1.3582140656794834e-05,MGYA00721805,ERZ650833
Bacteroidia,hutH,959.5,80716289.69999999,1.1887315479517144e-05,MGYA00721805,ERZ650833
Rikenellaceae,hutH,980.3,80716289.69999999,1.2145008196530124e-05,MGYA00721805,ERZ650833
Betaproteobacteria,hutH,1056.6,80716289.69999999,1.309029446134217e-05,MGYA00721805,ERZ650833
unclassified Burkholderiales,hutH,1065.8,80716289.69999999,1.3204273932328682e-05,MGYA00721805,ERZ650833
Bacteroidaceae,hutH,984.2,80716289.69999999,1.219332558097006e-05,MGYA00721805,ERZ650833
Eubacteriaceae,hutH,637.9,80716289.69999999,7.90298962416257e-06,MGYA00721805,ERZ650833
Bacteroidaceae,hutH,985.7,80716289.69999999,1.2211909190370035e-05,MGYA00721805,ERZ650833
Rikenellaceae,hutH,961.8,80716289.69999999,1.191581034726377e-05,MGYA00721805,ERZ650833
Bacteroidaceae,hutH,983.0,80716289.69999999,1.217845869345008e-05,MGYA00721805,ERZ650833
Porphyromonadaceae,hutH,983.4,80716289.69999999,1.2183414322623405e-05,MGYA00721805,ERZ650833
Porphyromonadaceae,hutH,984.2,80716289.69999999,1.219332558097006e-05,MGYA00721805,ERZ650833
Bacteroidaceae,hutH,1032.7,80716289.69999999,1.2794195618235909e-05,MGYA00721805,ERZ650833
Bacteroidaceae,hutH,990.3,80716289.69999999,1.226889892586329e-05,MGYA00721805,ERZ650833
Porphyromonadaceae,hutH,978.4,80716289.69999999,1.2121468957956824e-05,MGYA00721805,ERZ650833
Bacteroidaceae,hutH,782.7,80716289.69999999,9.696927384906793e-06,MGYA00721805,ERZ650833
Bacteroidaceae,hutH,988.4,80716289.69999999,1.2245359687289988e-05,MGYA00721805,ERZ650833
Bacteroidaceae,hutH,147.1,80716289.69999999,1.8224326284908513e-06,MGYA00721805,ERZ650833
Bacteroidaceae,hutH,730.7,87223041.5,8.377373540683055e-06,MGYA00721806,ERZ650832
Bacteroidia,hutH,216.5,87223041.5,2.482142290348818e-06,MGYA00721806,ERZ650832
Rikenellaceae,hutH,491.5,87223041.5,5.634978917812675e-06,MGYA00721806,ERZ650832
Rikenellaceae,hutH,379.4,87223041.5,4.349768059853772e-06,MGYA00721806,ERZ650832
Bacteroidaceae,hutH,489.2,87223041.5,5.608609738746613e-06,MGYA00721806,ERZ650832
Bacteroidaceae,hutH,318.9,87223041.5,3.656144001811723e-06,MGYA00721806,ERZ650832
Porphyromonadaceae,hutH,719.9,87223041.5,8.2535530476772e-06,MGYA00721806,ERZ650832
Bacteroidaceae,hutH,945.7,87223041.5,1.0842318540336615e-05,MGYA00721806,ERZ650832
Eubacteriaceae,hutH,431.8,87223041.5,4.95052674814143e-06,MGYA00721806,ERZ650832
Bacteroidaceae,hutH,883.2,87223041.5,1.0125764761367557e-05,MGYA00721806,ERZ650832
Rikenellaceae,hutH,549.7,87223041.5,6.302233796788662e-06,MGYA00721806,ERZ650832
Bacteroidia,hutH,322.4,87223041.5,3.6962710134339903e-06,MGYA00721806,ERZ650832
Bacteroidaceae,hutH,800.8,87223041.5,9.18106025917475e-06,MGYA00721806,ERZ650832
Bacteroidaceae,hutH,781.9,87223041.5,8.964374396414507e-06,MGYA00721806,ERZ650832
Bacteroidia,hutH,988.0,87223041.5,1.1327282137942875e-05,MGYA00721806,ERZ650832
Porphyromonadaceae,hutH,787.7,87223041.5,9.030870587102837e-06,MGYA00721806,ERZ650832
Betaproteobacteria,hutH,420.2,87223041.5,4.817534366764773e-06,MGYA00721806,ERZ650832
Rikenellaceae,hutH,446.0,87223041.5,5.1133277667232e-06,MGYA00721806,ERZ650832
Oscillospiraceae,hutH,109.4,87223041.5,1.2542557347074397e-06,MGYA00721806,ERZ650832
Clostridiaceae,hutH,209.1,87223041.5,2.3973023229188813e-06,MGYA00721806,ERZ650832
Bacteroidaceae,hutH,401.7,87223041.5,4.6054344481899315e-06,MGYA00721806,ERZ650832
Porphyromonadaceae,hutH,90.1,87223041.5,1.0329839277617945e-06,MGYA00721806,ERZ650832
Rikenellaceae,hutH,976.5,87223041.5,1.1195436242612567e-05,MGYA00721806,ERZ650832
Bacteroidia,hutH,654.4,87223041.5,7.502604687317628e-06,MGYA00721806,ERZ650832
Bacteroidaceae,hutH,984.2,87223041.5,1.1283715668181555e-05,MGYA00721806,ERZ650832
Bacteria,hutH,221.9,87223041.5,2.5440525368517447e-06,MGYA00721806,ERZ650832
Bacteroidaceae,hutH,976.1,87223041.5,1.1190850298427166e-05,MGYA00721806,ERZ650832
Bacteroidaceae,hutH,985.7,87223041.5,1.1300912958876812e-05,MGYA00721806,ERZ650832
Clostridiaceae,hutH,365.5,87223041.5,4.190406499411053e-06,MGYA00721806,ERZ650832
Oscillospiraceae,hutH,1013.4,87223041.5,1.1618489593715898e-05,MGYA00721806,ERZ650832
Bacteroidaceae,hutH,1040.8,87223041.5,1.1932626770415933e-05,MGYA00721806,ERZ650832
Porphyromonadaceae,hutH,984.2,87223041.5,1.1283715668181555e-05,MGYA00721806,ERZ650832
Bacteroidaceae,hutH,989.2,87223041.5,1.134103997049908e-05,MGYA00721806,ERZ650832
Porphyromonadaceae,hutH,976.1,87223041.5,1.1190850298427166e-05,MGYA00721806,ERZ650832
Oscillospiraceae,hutH,822.0,87223041.5,9.424115301001055e-06,MGYA00721806,ERZ650832
Clostridiales incertae sedis,hutH,633.6,87223041.5,7.264135589676726e-06,MGYA00721806,ERZ650832
Bacteroidaceae,hutH,181.0,87223041.5,2.075139743894393e-06,MGYA00721806,ERZ650832
Enterobacter,hutH,100.5,87223041.5,1.1522184765822458e-06,MGYA00721806,ERZ650832
Sutterellaceae,hutH,162.2,87223041.5,1.8596003671805e-06,MGYA00721806,ERZ650832
unclassified Burkholderiales,hutH,211.1,87223041.5,2.420232043845891e-06,MGYA00721806,ERZ650832
Bacteroidaceae,hutH,287.3,87223041.5,3.2938544111649675e-06,MGYA00721806,ERZ650832
Bacteroidaceae,hutH,987.6,69658993.39999999,1.4177638116717319e-05,MGYA00721808,ERZ650829
Bacteroidaceae,hutH,99.0,69658993.39999999,1.4212091672286497e-06,MGYA00721808,ERZ650829
Bifidobacteriales,hutH,271.9,69658993.39999999,3.903300733024948e-06,MGYA00721808,ERZ650829
Porphyromonadaceae,hutH,180.3,69658993.39999999,2.5883233621346017e-06,MGYA00721808,ERZ650829
Bacilli,hutH,193.7,69658993.39999999,2.780689047395853e-06,MGYA00721808,ERZ650829
Bacteroidaceae,hutH,74.7,69658993.39999999,1.0723669170907086e-06,MGYA00721808,ERZ650829
Bacteroidaceae,hutH,536.2,69658993.39999999,7.69749854008083e-06,MGYA00721808,ERZ650829
Porphyromonadaceae,hutH,458.8,69658993.39999999,6.5863713729747935e-06,MGYA00721808,ERZ650829
Oscillospiraceae,hutH,378.3,69658993.39999999,5.4307416965919015e-06,MGYA00721808,ERZ650829
Betaproteobacteria,hutH,635.6,69658993.39999999,9.124449966571008e-06,MGYA00721808,ERZ650829
Bacteroidaceae,hutH,1043.9,69658993.39999999,1.4985861107777653e-05,MGYA00721808,ERZ650829
Porphyromonadaceae,hutH,193.7,69658993.39999999,2.780689047395853e-06,MGYA00721808,ERZ650829
Bacteroidaceae,hutH,984.2,69658993.39999999,1.4128828912994316e-05,MGYA00721808,ERZ650829
Bacillus,hutH,523.9,69658993.39999999,7.520924067788784e-06,MGYA00721808,ERZ650829
Firmicutes,hutH,600.9,69658993.39999999,8.62630897563329e-06,MGYA00721808,ERZ650829
Clostridia,hutH,661.0,69658993.39999999,9.489083429678156e-06,MGYA00721808,ERZ650829
Bacteroidia,hutH,741.1,69658993.39999999,1.0638970846799519e-05,MGYA00721808,ERZ650829
Negativicutes,hutH,846.3,69658993.39999999,1.214918503258188e-05,MGYA00721808,ERZ650829
Clostridia,hutH,798.5,69658993.39999999,1.1462985050829059e-05,MGYA00721808,ERZ650829
Negativicutes,hutH,999.2,69658993.39999999,1.4344163635301686e-05,MGYA00721808,ERZ650829
Rikenellaceae,hutH,860.1,69658993.39999999,1.2347292977104664e-05,MGYA00721808,ERZ650829
Porphyromonadaceae,hutH,825.9,69658993.39999999,1.1856329810243856e-05,MGYA00721808,ERZ650829
unclassified Burkholderiales,hutH,85.9,69658993.39999999,1.2331501764135456e-06,MGYA00721808,ERZ650829
unclassified Burkholderiales,hutH,969.5,69658993.39999999,1.3917800885133091e-05,MGYA00721808,ERZ650829
Bacteroidaceae,hutH,989.2,69658993.39999999,1.420060715376344e-05,MGYA00721808,ERZ650829
Betaproteobacteria,hutH,1046.2,69658993.39999999,1.501887909853145e-05,MGYA00721808,ERZ650829
Bacteria,hutH,825.5,69658993.39999999,1.1850587550982327e-05,MGYA00721808,ERZ650829
Bacteroidaceae,hutH,984.9,69658993.39999999,1.413887786670199e-05,MGYA00721808,ERZ650829
Rikenellaceae,hutH,973.4,69658993.39999999,1.3973787912933006e-05,MGYA00721808,ERZ650829
Sutterellaceae,hutH,707.2,69658993.39999999,1.015231437438486e-05,MGYA00721808,ERZ650829
Bifidobacteriales,hutH,706.4,69658993.39999999,1.01408298558618e-05,MGYA00721808,ERZ650829
Bacteroidaceae,hutH,992.3,114785985.60000002,8.644783549255857e-06,MGYA00721809,ERZ650828
Clostridiales incertae sedis,hutH,631.3,114785985.60000002,5.499800317086791e-06,MGYA00721809,ERZ650828
Bacteroidaceae,hutH,870.9,114785985.60000002,7.58716314929651e-06,MGYA00721809,ERZ650828
Bacteroidaceae,hutH,987.6,114785985.60000002,8.603837784183297e-06,MGYA00721809,ERZ650828
Oscillospiraceae,hutH,592.8,114785985.60000002,5.164393518088151e-06,MGYA00721809,ERZ650828
Porphyromonadaceae,hutH,523.9,114785985.60000002,4.564146025854221e-06,MGYA00721809,ERZ650828
Bacteroidia,hutH,679.5,114785985.60000002,5.919712205703271e-06,MGYA00721809,ERZ650828
Oscillospiraceae,hutH,969.1,114785985.60000002,8.442668283365769e-06,MGYA00721809,ERZ650828
Porphyromonadaceae,hutH,228.4,114785985.60000002,1.989789945228296e-06,MGYA00721809,ERZ650828
