bacteria,huth,analysis,sample
Betaproteobacteria,hutH,MGYA00721790,ERZ650844
Bacteria,hutH,MGYA00721790,ERZ650844
Oscillospiraceae,hutH,MGYA00721790,ERZ650844
Clostridiales incertae sedis,hutH,MGYA00721790,ERZ650844
Oscillospiraceae,hutH,MGYA00721790,ERZ650844
Clostridiaceae,hutH,MGYA00721790,ERZ650844
Synergistetes,hutH,MGYA00721790,ERZ650844
Firmicutes,hutH,MGYA00721790,ERZ650844
Firmicutes,hutH,MGYA00721790,ERZ650844
Eubacteriaceae,hutH,MGYA00721790,ERZ650844
Firmicutes,hutH,MGYA00721790,ERZ650844
Oscillospiraceae,hutH,MGYA00721790,ERZ650844
Clostridiaceae,hutH,MGYA00721790,ERZ650844
Porphyromonadaceae,hutH,MGYA00721790,ERZ650844
Bacteroidaceae,hutH,MGYA00721790,ERZ650844
Bacteroidaceae,hutH,MGYA00721793,ERZ650842
Porphyromonadaceae,hutH,MGYA00721793,ERZ650842
Porphyromonadaceae,hutH,MGYA00721793,ERZ650842
Bacteroidaceae,hutH,MGYA00721793,ERZ650842
Bacteroidaceae,hutH,MGYA00721793,ERZ650842
Bifidobacteriales,hutH,MGYA00721793,ERZ650842
Porphyromonadaceae,hutH,MGYA00721793,ERZ650842
Bacteroidaceae,hutH,MGYA00721793,ERZ650842
Bacteroidaceae,hutH,MGYA00721793,ERZ650842
Bacteroidia,hutH,MGYA00721793,ERZ650842
Rikenellaceae,hutH,MGYA00721793,ERZ650842
Rikenellaceae,hutH,MGYA00721793,ERZ650842
Bacteroidaceae,hutH,MGYA00721793,ERZ650842
Porphyromonadaceae,hutH,MGYA00721793,ERZ650842
Bacteroidaceae,hutH,MGYA00721793,ERZ650842
Bacteroidaceae,hutH,MGYA00721793,ERZ650842
Bacteroidaceae,hutH,MGYA00721793,ERZ650842
Bacteroidaceae,hutH,MGYA00721793,ERZ650842
Bacteroidaceae,hutH,MGYA00721793,ERZ650842
Porphyromonadaceae,hutH,MGYA00721793,ERZ650842
Blautia,hutH,MGYA00721797,ERZ650839
Porphyromonadaceae,hutH,MGYA00721797,ERZ650839
Blautia,hutH,MGYA00721797,ERZ650839
Clostridia,hutH,MGYA00721797,ERZ650839
Blautia,hutH,MGYA00721797,ERZ650839
Bacteria,hutH,MGYA00721797,ERZ650839
Bacteroidaceae,hutH,MGYA00721797,ERZ650839
Bacteroidaceae,hutH,MGYA00721797,ERZ650839
Bacteroidaceae,hutH1,MGYA00721797,ERZ650839
Bacteroidaceae,hutH,MGYA00721797,ERZ650839
Porphyromonadaceae,hutH,MGYA00721797,ERZ650839
Rahnella,hutH,MGYA00721797,ERZ650839
Bacteroidaceae,hutH,MGYA00721797,ERZ650839
Bacteroidia,hutH,MGYA00721797,ERZ650839
Fusobacteria,hutH,MGYA00721797,ERZ650839
Porphyromonadaceae,hutH,MGYA00721797,ERZ650839
Rikenellaceae,hutH,MGYA00721797,ERZ650839
Bacteroidaceae,hutH,MGYA00721797,ERZ650839
Bacteroidaceae,hutH,MGYA00721797,ERZ650839
Enterobacter,hutH,MGYA00721797,ERZ650839
Bacteroidaceae,hutH,MGYA00721797,ERZ650839
Gammaproteobacteria,hutH,MGYA00721797,ERZ650839
Bacteroidaceae,hutH,MGYA00721797,ERZ650839
Blautia,hutH,MGYA00721797,ERZ650839
Bacteroidaceae,hutH,MGYA00721805,ERZ650833
Oscillospiraceae,hutH,MGYA00721805,ERZ650833
Porphyromonadaceae,hutH,MGYA00721805,ERZ650833
Bacteroidaceae,hutH,MGYA00721805,ERZ650833
Bacteroidaceae,hutH,MGYA00721805,ERZ650833
Bacteroidaceae,hutH,MGYA00721805,ERZ650833
Bacteroidia,hutH,MGYA00721805,ERZ650833
Rikenellaceae,hutH,MGYA00721805,ERZ650833
Rikenellaceae,hutH,MGYA00721805,ERZ650833
Bacteroidaceae,hutH,MGYA00721805,ERZ650833
Bacteria,hutH,MGYA00721805,ERZ650833
Bacteroidia,hutH,MGYA00721805,ERZ650833
Rikenellaceae,hutH,MGYA00721805,ERZ650833
Betaproteobacteria,hutH,MGYA00721805,ERZ650833
unclassified Burkholderiales,hutH,MGYA00721805,ERZ650833
Bacteroidaceae,hutH,MGYA00721805,ERZ650833
Eubacteriaceae,hutH,MGYA00721805,ERZ650833
Bacteroidaceae,hutH,MGYA00721805,ERZ650833
Rikenellaceae,hutH,MGYA00721805,ERZ650833
Bacteroidaceae,hutH,MGYA00721805,ERZ650833
Porphyromonadaceae,hutH,MGYA00721805,ERZ650833
Porphyromonadaceae,hutH,MGYA00721805,ERZ650833
Bacteroidaceae,hutH,MGYA00721805,ERZ650833
Bacteroidaceae,hutH,MGYA00721805,ERZ650833
Porphyromonadaceae,hutH,MGYA00721805,ERZ650833
Bacteroidaceae,hutH,MGYA00721805,ERZ650833
Bacteroidaceae,hutH,MGYA00721805,ERZ650833
Bacteroidaceae,hutH,MGYA00721805,ERZ650833
Bacteroidaceae,hutH,MGYA00721806,ERZ650832
Bacteroidia,hutH,MGYA00721806,ERZ650832
Rikenellaceae,hutH,MGYA00721806,ERZ650832
Rikenellaceae,hutH,MGYA00721806,ERZ650832
Bacteroidaceae,hutH,MGYA00721806,ERZ650832
Bacteroidaceae,hutH,MGYA00721806,ERZ650832
Porphyromonadaceae,hutH,MGYA00721806,ERZ650832
Bacteroidaceae,hutH,MGYA00721806,ERZ650832
Eubacteriaceae,hutH,MGYA00721806,ERZ650832
Bacteroidaceae,hutH,MGYA00721806,ERZ650832
Rikenellaceae,hutH,MGYA00721806,ERZ650832
Bacteroidia,hutH,MGYA00721806,ERZ650832
Bacteroidaceae,hutH,MGYA00721806,ERZ650832
Bacteroidaceae,hutH,MGYA00721806,ERZ650832
Bacteroidia,hutH,MGYA00721806,ERZ650832
Porphyromonadaceae,hutH,MGYA00721806,ERZ650832
Betaproteobacteria,hutH,MGYA00721806,ERZ650832
Rikenellaceae,hutH,MGYA00721806,ERZ650832
Oscillospiraceae,hutH,MGYA00721806,ERZ650832
Clostridiaceae,hutH,MGYA00721806,ERZ650832
Bacteroidaceae,hutH,MGYA00721806,ERZ650832
Porphyromonadaceae,hutH,MGYA00721806,ERZ650832
Rikenellaceae,hutH,MGYA00721806,ERZ650832
Bacteroidia,hutH,MGYA00721806,ERZ650832
Bacteroidaceae,hutH,MGYA00721806,ERZ650832
Bacteria,hutH,MGYA00721806,ERZ650832
Bacteroidaceae,hutH,MGYA00721806,ERZ650832
Bacteroidaceae,hutH,MGYA00721806,ERZ650832
Clostridiaceae,hutH,MGYA00721806,ERZ650832
Oscillospiraceae,hutH,MGYA00721806,ERZ650832
Bacteroidaceae,hutH,MGYA00721806,ERZ650832
Porphyromonadaceae,hutH,MGYA00721806,ERZ650832
Bacteroidaceae,hutH,MGYA00721806,ERZ650832
Porphyromonadaceae,hutH,MGYA00721806,ERZ650832
Oscillospiraceae,hutH,MGYA00721806,ERZ650832
Clostridiales incertae sedis,hutH,MGYA00721806,ERZ650832
Bacteroidaceae,hutH,MGYA00721806,ERZ650832
Enterobacter,hutH,MGYA00721806,ERZ650832
Sutterellaceae,hutH,MGYA00721806,ERZ650832
unclassified Burkholderiales,hutH,MGYA00721806,ERZ650832
Bacteroidaceae,hutH,MGYA00721806,ERZ650832
Bacteroidaceae,hutH,MGYA00721808,ERZ650829
Bacteroidaceae,hutH,MGYA00721808,ERZ650829
Bifidobacteriales,hutH,MGYA00721808,ERZ650829
Porphyromonadaceae,hutH,MGYA00721808,ERZ650829
Bacilli,hutH,MGYA00721808,ERZ650829
Bacteroidaceae,hutH,MGYA00721808,ERZ650829
Bacteroidaceae,hutH,MGYA00721808,ERZ650829
Porphyromonadaceae,hutH,MGYA00721808,ERZ650829
Oscillospiraceae,hutH,MGYA00721808,ERZ650829
Betaproteobacteria,hutH,MGYA00721808,ERZ650829
Bacteroidaceae,hutH,MGYA00721808,ERZ650829
Porphyromonadaceae,hutH,MGYA00721808,ERZ650829
Bacteroidaceae,hutH,MGYA00721808,ERZ650829
Bacillus,hutH,MGYA00721808,ERZ650829
Firmicutes,hutH,MGYA00721808,ERZ650829
Clostridia,hutH,MGYA00721808,ERZ650829
Bacteroidia,hutH,MGYA00721808,ERZ650829
Negativicutes,hutH,MGYA00721808,ERZ650829
Clostridia,hutH,MGYA00721808,ERZ650829
Negativicutes,hutH,MGYA00721808,ERZ650829
Rikenellaceae,hutH,MGYA00721808,ERZ650829
Porphyromonadaceae,hutH,MGYA00721808,ERZ650829
unclassified Burkholderiales,hutH,MGYA00721808,ERZ650829
unclassified Burkholderiales,hutH,MGYA00721808,ERZ650829
Bacteroidaceae,hutH,MGYA00721808,ERZ650829
Betaproteobacteria,hutH,MGYA00721808,ERZ650829
Bacteria,hutH,MGYA00721808,ERZ650829
Bacteroidaceae,hutH,MGYA00721808,ERZ650829
Rikenellaceae,hutH,MGYA00721808,ERZ650829
Sutterellaceae,hutH,MGYA00721808,ERZ650829
Bifidobacteriales,hutH,MGYA00721808,ERZ650829
Bacteroidaceae,hutH,MGYA00721809,ERZ650828
Clostridiales incertae sedis,hutH,MGYA00721809,ERZ650828
Bacteroidaceae,hutH,MGYA00721809,ERZ650828
Bacteroidaceae,hutH,MGYA00721809,ERZ650828
Oscillospiraceae,hutH,MGYA00721809,ERZ650828
Porphyromonadaceae,hutH,MGYA00721809,ERZ650828
Bacteroidia,hutH,MGYA00721809,ERZ650828
Oscillospiraceae,hutH,MGYA00721809,ERZ650828
Porphyromonadaceae,hutH,MGYA00721809,ERZ650828
Rikenellaceae,hutH,MGYA00721809,ERZ650828
Bacteroidaceae,hutH,MGYA00721809,ERZ650828
Rikenellaceae,hutH,MGYA00721809,ERZ650828
Rikenellaceae,hutH,MGYA00721809,ERZ650828
Bacteroidia,hutH,MGYA00721809,ERZ650828
Bacteroidaceae,hutH,MGYA00721809,ERZ650828
Firmicutes,hutH,MGYA00721809,ERZ650828
Bacteroidaceae,hutH,MGYA00721809,ERZ650828
Bacteroidaceae,hutH,MGYA00721809,ERZ650828
Bacteroidaceae,hutH,MGYA00721809,ERZ650828
Bacteroidaceae,hutH,MGYA00721809,ERZ650828
Bacteroidaceae,hutH,MGYA00721809,ERZ650828
Rikenellaceae,hutH,MGYA00721809,ERZ650828
Oscillospiraceae,hutH,MGYA00721809,ERZ650828
Synergistetes,hutH,MGYA00721809,ERZ650828
Bacteroidaceae,hutH,MGYA00721809,ERZ650828
Porphyromonadaceae,hutH,MGYA00721809,ERZ650828
Bacteroidia,hutH,MGYA00721809,ERZ650828
Blautia,hutH,MGYA00721809,ERZ650828
Bacteroidaceae,hutH,MGYA00721809,ERZ650828
Sutterellaceae,hutH,MGYA00721809,ERZ650828
Bacillus,hutH,MGYA00721809,ERZ650828
Porphyromonadaceae,hutH,MGYA00721809,ERZ650828
Blautia,hutH,MGYA00721809,ERZ650828
Bacteroidaceae,hutH,MGYA00721809,ERZ650828
Porphyromonadaceae,hutH,MGYA00721809,ERZ650828
Oscillospiraceae,hutH,MGYA00721809,ERZ650828
Blautia,hutH,MGYA00721809,ERZ650828
Bacteroidaceae,hutH1,MGYA00721809,ERZ650828
Sutterellaceae,hutH,MGYA00721809,ERZ650828
Bacteroidaceae,hutH,MGYA00721813,ERZ650804
Bacteroidaceae,hutH,MGYA00721813,ERZ650804
Lachnoclostridium,hutH,MGYA00721813,ERZ650804
Enterobacter,hutH,MGYA00721813,ERZ650804
Enterobacter,hutH,MGYA00721813,ERZ650804
Bacteroidaceae,hutH,MGYA00721813,ERZ650804
Bacteroidaceae,hutH,MGYA00721813,ERZ650804
Bacteroidaceae,hutH,MGYA00721813,ERZ650804
Bacteroidaceae,hutH,MGYA00721813,ERZ650804
Bacilli,hutH,MGYA00721813,ERZ650804
Ruminococcaceae,hutH,MGYA00721813,ERZ650804
Rikenellaceae,hutH,MGYA00721813,ERZ650804
Bacteroidaceae,hutH,MGYA00721813,ERZ650804
Bacteroidaceae,hutH,MGYA00721813,ERZ650804
Fusobacteria,hutH,MGYA00721813,ERZ650804
Blautia,hutH,MGYA00721813,ERZ650804
Bacteroidaceae,hutH,MGYA00721813,ERZ650804
Bacteroidaceae,hutH,MGYA00721813,ERZ650804
Lachnoclostridium,hutH,MGYA00721813,ERZ650804
Porphyromonadaceae,hutH,MGYA00721813,ERZ650804
Bacteroidaceae,hutH,MGYA00721813,ERZ650804
Porphyromonadaceae,hutH,MGYA00721813,ERZ650804
Porphyromonadaceae,hutH,MGYA00721813,ERZ650804
Lachnoclostridium,hutH,MGYA00721813,ERZ650804
Gammaproteobacteria,hutH,MGYA00721813,ERZ650804
Bacteroidia,hutH,MGYA00721813,ERZ650804
Porphyromonadaceae,hutH,MGYA00721814,ERZ650797
Porphyromonadaceae,hutH,MGYA00721814,ERZ650797
Porphyromonadaceae,hutH,MGYA00721814,ERZ650797
Porphyromonadaceae,hutH,MGYA00721814,ERZ650797
unclassified Burkholderiales,hutH,MGYA00721814,ERZ650797
Bacteroidia,hutH,MGYA00721814,ERZ650797
unclassified Burkholderiales,hutH,MGYA00721814,ERZ650797
Bacteria,hutH,MGYA00721814,ERZ650797
Rikenellaceae,hutH,MGYA00721814,ERZ650797
Bacteroidaceae,hutH,MGYA00721814,ERZ650797
Porphyromonadaceae,hutH,MGYA00721814,ERZ650797
Betaproteobacteria,hutH,MGYA00721814,ERZ650797
unclassified Burkholderiales,hutH,MGYA00721814,ERZ650797
Bacteroidaceae,hutH,MGYA00721814,ERZ650797
Bacteroidaceae,hutH,MGYA00721814,ERZ650797
Bacteroidaceae,hutH,MGYA00721814,ERZ650797
Rikenellaceae,hutH,MGYA00721814,ERZ650797
Bacteroidaceae,hutH,MGYA00721814,ERZ650797
Bacteroidaceae,hutH,MGYA00721814,ERZ650797
Bacteroidaceae,hutH,MGYA00721814,ERZ650797
Bacteroidaceae,hutH,MGYA00721814,ERZ650797
Bacteroidaceae,hutH,MGYA00721814,ERZ650797
Bacteroidaceae,hutH,MGYA00721814,ERZ650797
Bacteroidaceae,hutH,MGYA00721814,ERZ650797
Rikenellaceae,hutH,MGYA00721814,ERZ650797
Porphyromonadaceae,hutH,MGYA00721814,ERZ650797
Eubacteriaceae,hutH,MGYA00721814,ERZ650797
Porphyromonadaceae,hutH,MGYA00721814,ERZ650797
Bacteroidaceae,hutH,MGYA00721816,ERZ650796
Bacteroidaceae,hutH,MGYA00721816,ERZ650796
Bacteroidaceae,hutH,MGYA00721816,ERZ650796
Bacteroidaceae,hutH,MGYA00721816,ERZ650796
Bacteroidaceae,hutH,MGYA00721816,ERZ650796
Porphyromonadaceae,hutH,MGYA00721816,ERZ650796
Bacteroidaceae,hutH,MGYA00721816,ERZ650796
Rikenellaceae,hutH,MGYA00721816,ERZ650796
Eubacteriaceae,hutH,MGYA00721816,ERZ650796
Bacteroidaceae,hutH,MGYA00721816,ERZ650796
Paenibacillaceae,hutH,MGYA00721816,ERZ650796
Bacteroidia,hutH,MGYA00721816,ERZ650796
Bacteroidaceae,hutH,MGYA00721816,ERZ650796
Enterobacter,hutH,MGYA00721816,ERZ650796
Rikenellaceae,hutH,MGYA00721816,ERZ650796
Oscillospiraceae,hutH,MGYA00721816,ERZ650796
Porphyromonadaceae,hutH,MGYA00721816,ERZ650796
Oscillospiraceae,hutH,MGYA00721816,ERZ650796
Bacteroidaceae,hutH,MGYA00721816,ERZ650796
Bacteroidaceae,hutH1,MGYA00721816,ERZ650796
Bifidobacteriales,hutH,MGYA00721816,ERZ650796
Bifidobacteriales,hutH,MGYA00721816,ERZ650796
Bacteroidaceae,hutH,MGYA00721816,ERZ650796
Porphyromonadaceae,hutH,MGYA00721816,ERZ650796
unclassified Burkholderiales,hutH,MGYA00721816,ERZ650796
Bacteroidia,hutH,MGYA00721816,ERZ650796
unclassified Burkholderiales,hutH,MGYA00721816,ERZ650796
Bacteroidaceae,hutH1,MGYA00721817,ERZ650792
Porphyromonadaceae,hutH,MGYA00721817,ERZ650792
Bifidobacteriales,hutH,MGYA00721817,ERZ650792
Porphyromonadaceae,hutH,MGYA00721817,ERZ650792
Enterobacter,hutH,MGYA00721817,ERZ650792
Bacteroidaceae,hutH,MGYA00721817,ERZ650792
Rahnella,hutH,MGYA00721817,ERZ650792
Porphyromonadaceae,hutH,MGYA00721817,ERZ650792
Gammaproteobacteria,hutH,MGYA00721817,ERZ650792
Firmicutes,hutH,MGYA00721817,ERZ650792
Porphyromonadaceae,hutH,MGYA00721817,ERZ650792
Rikenellaceae,hutH,MGYA00721817,ERZ650792
Bacillus,hutH,MGYA00721817,ERZ650792
Bacteroidaceae,hutH,MGYA00721817,ERZ650792
Synergistetes,hutH,MGYA00721817,ERZ650792
Bacteroidaceae,hutH,MGYA00721817,ERZ650792
Bacteroidaceae,hutH,MGYA00721817,ERZ650792
Oscillospiraceae,hutH,MGYA00721817,ERZ650792
Firmicutes,hutH,MGYA00721817,ERZ650792
Firmicutes,hutH,MGYA00721817,ERZ650792
Bacteroidaceae,hutH,MGYA00721817,ERZ650792
Bacteroidaceae,hutH,MGYA00721817,ERZ650792
Oscillospiraceae,hutH,MGYA00721817,ERZ650792
Bacteria,hutH,MGYA00721817,ERZ650792
Bacteroidaceae,hutH,MGYA00721817,ERZ650792
Bacteroidaceae,hutH,MGYA00721817,ERZ650792
Sutterellaceae,hutH,MGYA00721817,ERZ650792
Enterobacter,hutH,MGYA00721817,ERZ650792
Bacteroidaceae,hutH,MGYA00721818,ERZ650791
Porphyromonadaceae,hutH,MGYA00721818,ERZ650791
Rikenellaceae,hutH,MGYA00721818,ERZ650791
Porphyromonadaceae,hutH,MGYA00721818,ERZ650791
Bacteroidaceae,hutH,MGYA00721818,ERZ650791
Porphyromonadaceae,hutH,MGYA00721818,ERZ650791
Clostridiales incertae sedis,hutH,MGYA00721818,ERZ650791
Enterobacter,hutH,MGYA00721818,ERZ650791
Gammaproteobacteria,hutH,MGYA00721818,ERZ650791
Porphyromonadaceae,hutH,MGYA00721818,ERZ650791
Porphyromonadaceae,hutH,MGYA00721818,ERZ650791
Eubacteriaceae,hutH,MGYA00721818,ERZ650791
Rikenellaceae,hutH,MGYA00721818,ERZ650791
Bacteroidaceae,hutH1,MGYA00721818,ERZ650791
Porphyromonadaceae,hutH,MGYA00721818,ERZ650791
Bacteroidaceae,hutH,MGYA00721818,ERZ650791
Bacteroidaceae,hutH,MGYA00721818,ERZ650791
Porphyromonadaceae,hutH,MGYA00721818,ERZ650791
Bacteroidaceae,hutH,MGYA00721818,ERZ650791
Bacteroidaceae,hutH,MGYA00721818,ERZ650791
Bacteroidaceae,hutH,MGYA00721818,ERZ650791
Bacteroidaceae,hutH,MGYA00721818,ERZ650791
Bacteroidaceae,hutH,MGYA00721818,ERZ650791
unclassified Burkholderiales,hutH,MGYA00721818,ERZ650791
unclassified Burkholderiales,hutH,MGYA00721818,ERZ650791
Enterobacter,hutH,MGYA00721818,ERZ650791
Betaproteobacteria,hutH,MGYA00721818,ERZ650791
Bacteroidaceae,hutH,MGYA00721820,ERZ650787
Bacteroidaceae,hutH,MGYA00721820,ERZ650787
Bacteroidaceae,hutH,MGYA00721820,ERZ650787
Porphyromonadaceae,hutH,MGYA00721820,ERZ650787
Bacteroidaceae,hutH,MGYA00721820,ERZ650787
Bacteroidaceae,hutH,MGYA00721820,ERZ650787
Bacteroidaceae,hutH,MGYA00721820,ERZ650787
Rikenellaceae,hutH,MGYA00721820,ERZ650787
Bacteroidaceae,hutH,MGYA00721820,ERZ650787
Oscillospiraceae,hutH,MGYA00721820,ERZ650787
Oscillospiraceae,hutH,MGYA00721820,ERZ650787
Bacteroidia,hutH,MGYA00721820,ERZ650787
Bacteroidaceae,hutH,MGYA00721820,ERZ650787
Bacteroidaceae,hutH,MGYA00721820,ERZ650787
Bacteroidaceae,hutH,MGYA00721820,ERZ650787
Bacteroidaceae,hutH,MGYA00721820,ERZ650787
Oscillospiraceae,hutH,MGYA00721820,ERZ650787
Bacteroidaceae,hutH,MGYA00721820,ERZ650787
Bacteroidaceae,hutH,MGYA00721820,ERZ650787
Porphyromonadaceae,hutH,MGYA00721820,ERZ650787
Porphyromonadaceae,hutH,MGYA00721820,ERZ650787
Bacteroidaceae,hutH,MGYA00721820,ERZ650787
Porphyromonadaceae,hutH,MGYA00721820,ERZ650787
Bacteroidia,hutH,MGYA00721820,ERZ650787
Rikenellaceae,hutH,MGYA00721820,ERZ650787
Clostridia,hutH,MGYA00721820,ERZ650787
Bacteroidaceae,hutH,MGYA00721820,ERZ650787
Rhizobiaceae,hutH,MGYA00721820,ERZ650787
Bacteroidaceae,hutH,MGYA00721821,ERZ650786
Bacteroidaceae,hutH,MGYA00721821,ERZ650786
Bacteroidaceae,hutH,MGYA00721821,ERZ650786
Bacteroidaceae,hutH,MGYA00721821,ERZ650786
Rikenellaceae,hutH,MGYA00721821,ERZ650786
Porphyromonadaceae,hutH,MGYA00721821,ERZ650786
Bacteria,hutH,MGYA00721821,ERZ650786
Porphyromonadaceae,hutH,MGYA00721821,ERZ650786
Bacteroidaceae,hutH,MGYA00721821,ERZ650786
Bacteroidaceae,hutH,MGYA00721821,ERZ650786
Betaproteobacteria,hutH,MGYA00721821,ERZ650786
Bacteroidaceae,hutH,MGYA00721821,ERZ650786
Bifidobacteriales,hutH,MGYA00721821,ERZ650786
Enterobacter,hutH,MGYA00721821,ERZ650786
Bacteroidaceae,hutH,MGYA00721821,ERZ650786
Blautia,hutH,MGYA00721821,ERZ650786
Bacteroidia,hutH,MGYA00721821,ERZ650786
Bacteroidaceae,hutH,MGYA00721821,ERZ650786
Bacteroidaceae,hutH1,MGYA00721822,ERZ650830
Bacteroidaceae,hutH,MGYA00721822,ERZ650830
Bacteroidaceae,hutH,MGYA00721822,ERZ650830
Bacteroidaceae,hutH,MGYA00721822,ERZ650830
Synergistetes,hutH,MGYA00721822,ERZ650830
Bacteroidaceae,hutH,MGYA00721822,ERZ650830
Bacteroidaceae,hutH,MGYA00721822,ERZ650830
Negativicutes,hutH,MGYA00721822,ERZ650830
Negativicutes,hutH,MGYA00721822,ERZ650830
Bacteroidaceae,hutH,MGYA00721822,ERZ650830
Clostridia,hutH,MGYA00721822,ERZ650830
Clostridia,hutH,MGYA00721822,ERZ650830
Porphyromonadaceae,hutH,MGYA00721822,ERZ650830
Paenibacillaceae,hutH,MGYA00721822,ERZ650830
Clostridia,hutH,MGYA00721822,ERZ650830
Oscillospiraceae,hutH,MGYA00721822,ERZ650830
Rikenellaceae,hutH,MGYA00721822,ERZ650830
Rikenellaceae,hutH,MGYA00721822,ERZ650830
Porphyromonadaceae,hutH,MGYA00721822,ERZ650830
Bacteroidia,hutH,MGYA00721822,ERZ650830
Porphyromonadaceae,hutH,MGYA00721822,ERZ650830
Firmicutes,hutH,MGYA00721822,ERZ650830
Bacteroidaceae,hutH,MGYA00721822,ERZ650830
Bacteroidaceae,hutH,MGYA00721822,ERZ650830
Bacteroidaceae,hutH,MGYA00721822,ERZ650830
Porphyromonadaceae,hutH,MGYA00721822,ERZ650830
Bacilli,hutH,MGYA00721822,ERZ650830
Bacteroidia,hutH,MGYA00721822,ERZ650830
Bacteroidaceae,hutH,MGYA00721822,ERZ650830
Oscillospiraceae,hutH,MGYA00721822,ERZ650830
Bacteroidaceae,hutH,MGYA00721822,ERZ650830
Bacteroidaceae,hutH,MGYA00721822,ERZ650830
Oscillospiraceae,hutH,MGYA00721822,ERZ650830
Porphyromonadaceae,hutH,MGYA00721822,ERZ650830
Lachnoclostridium,hutH,MGYA00721822,ERZ650830
Lachnoclostridium,hutH,MGYA00721822,ERZ650830
unclassified Burkholderiales,hutH,MGYA00721822,ERZ650830
Bacteroidaceae,hutH,MGYA00721822,ERZ650830
Bacteria,hutH,MGYA00721822,ERZ650830
Bacteroidaceae,hutH,MGYA00721822,ERZ650830
Firmicutes,hutH,MGYA00721822,ERZ650830
Oscillospiraceae,hutH,MGYA00721822,ERZ650830
Bifidobacteriales,hutH,MGYA00721824,ERZ650824
Bacteroidaceae,hutH,MGYA00721824,ERZ650824
Bacteroidaceae,hutH,MGYA00721824,ERZ650824
Bacteroidaceae,hutH,MGYA00721824,ERZ650824
Bacteroidaceae,hutH,MGYA00721824,ERZ650824
Bacteroidaceae,hutH,MGYA00721824,ERZ650824
Porphyromonadaceae,hutH,MGYA00721824,ERZ650824
Bifidobacteriales,hutH,MGYA00721824,ERZ650824
Bacteroidaceae,hutH,MGYA00721824,ERZ650824
Bacteroidaceae,hutH,MGYA00721824,ERZ650824
Clostridiales incertae sedis,hutH,MGYA00721824,ERZ650824
unclassified Burkholderiales,hutH,MGYA00721824,ERZ650824
Rikenellaceae,hutH,MGYA00721824,ERZ650824
Enterobacter,hutH,MGYA00721824,ERZ650824
Gammaproteobacteria,hutH1,MGYA00721824,ERZ650824
Bacteroidaceae,hutH,MGYA00721824,ERZ650824
Porphyromonadaceae,hutH,MGYA00721824,ERZ650824
Bacteria,hutH,MGYA00721824,ERZ650824
Shewanellaceae,hutH,MGYA00721824,ERZ650824
Bacteroidaceae,hutH,MGYA00721824,ERZ650824
Bacteroidaceae,hutH,MGYA00721824,ERZ650824
Bacteroidaceae,hutH,MGYA00721824,ERZ650824
Bacteroidaceae,hutH,MGYA00721824,ERZ650824
Bacteroidaceae,hutH,MGYA00721824,ERZ650824
Bacteroidaceae,hutH,MGYA00721824,ERZ650824
Rikenellaceae,hutH,MGYA00721824,ERZ650824
Bacteroidaceae,hutH,MGYA00721824,ERZ650824
Betaproteobacteria,hutH,MGYA00721824,ERZ650824
Porphyromonadaceae,hutH,MGYA00721824,ERZ650824
Lachnoclostridium,hutH,MGYA00721824,ERZ650824
Bacteroidaceae,hutH,MGYA00721825,ERZ650823
Bacteroidaceae,hutH,MGYA00721825,ERZ650823
Bacteroidaceae,hutH,MGYA00721825,ERZ650823
Blautia,hutH,MGYA00721825,ERZ650823
Bacteroidaceae,hutH,MGYA00721825,ERZ650823
Rikenellaceae,hutH,MGYA00721825,ERZ650823
Bacteroidia,hutH,MGYA00721825,ERZ650823
Bacteroidaceae,hutH,MGYA00721825,ERZ650823
Porphyromonadaceae,hutH,MGYA00721825,ERZ650823
Bacteroidaceae,hutH,MGYA00721825,ERZ650823
Bacteroidaceae,hutH,MGYA00721825,ERZ650823
Bacteroidaceae,hutH,MGYA00721825,ERZ650823
Bacteroidaceae,hutH,MGYA00721825,ERZ650823
Bacteroidaceae,hutH,MGYA00721825,ERZ650823
Bifidobacteriales,hutH,MGYA00721825,ERZ650823
Bacteroidaceae,hutH,MGYA00721825,ERZ650823
Porphyromonadaceae,hutH,MGYA00721825,ERZ650823
Bacteroidaceae,hutH,MGYA00721825,ERZ650823
Bacteroidaceae,hutH,MGYA00721825,ERZ650823
Bacteroidaceae,hutH,MGYA00721826,ERZ650822
Bacteroidaceae,hutH,MGYA00721826,ERZ650822
Bacteroidaceae,hutH,MGYA00721826,ERZ650822
Bifidobacteriales,hutH,MGYA00721826,ERZ650822
Bifidobacteriales,hutH,MGYA00721826,ERZ650822
Rikenellaceae,hutH,MGYA00721826,ERZ650822
Bacteroidaceae,hutH,MGYA00721826,ERZ650822
Bacteroidaceae,hutH,MGYA00721826,ERZ650822
Rikenellaceae,hutH,MGYA00721826,ERZ650822
Ruminococcaceae,hutH,MGYA00721826,ERZ650822
Bacteroidaceae,hutH,MGYA00721826,ERZ650822
Bacteroidaceae,hutH,MGYA00721826,ERZ650822
Lachnoclostridium,hutH,MGYA00721826,ERZ650822
Porphyromonadaceae,hutH,MGYA00721826,ERZ650822
Bacteroidaceae,hutH,MGYA00721826,ERZ650822
Bacteroidaceae,hutH,MGYA00721827,ERZ650821
Oscillospiraceae,hutH,MGYA00721827,ERZ650821
Oscillospiraceae,hutH,MGYA00721827,ERZ650821
